name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Eumunida_sternomaculata	NA	NA	NA	177224	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_annulosa	NA	NA	NA	315717	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_funambulus	NA	NA	NA	497008	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_karubar	NA	NA	NA	497009	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_pacifica	NA	NA	NA	497010	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_parva	NA	NA	NA	497011	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_picta	NA	NA	NA	497012	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_spinosa	NA	NA	NA	497013	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_treguieri	NA	NA	NA	497014	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_bispinata	NA	NA	NA	521144	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_capillata	NA	NA	NA	521145	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_keijii	NA	NA	NA	521146	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_laevimana	NA	NA	NA	521147	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_marginata	NA	NA	NA	521148	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_minor	NA	NA	NA	521149	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_multilineata	NA	NA	NA	521150	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_similior	NA	NA	NA	521151	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_smithii	NA	NA	NA	521152	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Eumunida_squamifera	NA	NA	NA	521153	NA	NA	NA	177223	NA	NA	NA	177222	115588	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Yeti_crab	NA	NA	NA	352923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6738	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
